Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Ascot Vale,24 Ayr St,3,h,,S,Jellis,03/09/2016,5.9,3032,3,1,2,305,135,1910,Moonee Valley City Council,-37.7799,144.9296,Western Metropolitan,6567
Ascot Vale,2/43 Roxburgh St,2,u,455000,S,Nelson,03/09/2016,5.9,3032,3,1,2,0,,,Moonee Valley City Council,-37.7756,144.9165,Western Metropolitan,6567
Ascot Vale,30 Rothwell St,3,h,940000,S,Nelson,3/12/2016,5.9,3032,3,1,2,298,108,1920,Moonee Valley City Council,-37.7777,144.9195,Western Metropolitan,6567
Ascot Vale,9/5 Rothwell St,2,u,467000,SP,Brad,3/12/2016,5.9,3032,2,1,1,0,62,1980,Moonee Valley City Council,-37.7761,144.9201,Western Metropolitan,6567
Ascot Vale,47 Union Rd,3,h,,S,Brad,3/12/2016,5.9,3032,3,1,2,271,111,1900,Moonee Valley City Council,-37.7783,144.9149,Western Metropolitan,6567
Ascot Vale,42 Archer Av,3,h,895000,S,Nelson,04/02/2016,5.9,3032,,,,,,,Moonee Valley City Council,,,Western Metropolitan,6567
Ascot Vale,7 Francis St,3,h,1380000,SP,Nelson,04/03/2017,5.9,3032,3,2,2,277,174,1910,Moonee Valley City Council,-37.7777,144.9221,Western Metropolitan,6567
Ascot Vale,2/21 Harold St,2,u,490000,VB,Jellis,04/03/2017,5.9,3032,2,1,1,423,62,1970,Moonee Valley City Council,-37.7736,144.9015,Western Metropolitan,6567
Ascot Vale,44 The Parade,4,h,1850000,S,Brad,04/03/2017,5.9,3032,4,3,1,478,270,1900,Moonee Valley City Council,-37.7729,144.9179,Western Metropolitan,6567
Ascot Vale,97 Walter St,3,h,1284000,S,Woodards,04/03/2017,5.9,3032,3,1,2,623,,1938,Moonee Valley City Council,-37.7758,144.9089,Western Metropolitan,6567
Ascot Vale,98 Epsom Rd,3,h,971000,SP,Nelson,04/06/2016,5.9,3032,3,2,2,285,128,1900,Moonee Valley City Council,-37.775,144.9091,Western Metropolitan,6567
Ascot Vale,8 Geddes St,2,h,710000,PI,Nelson,04/06/2016,5.9,3032,2,1,1,214,77,1890,Moonee Valley City Council,-37.7776,144.9142,Western Metropolitan,6567
Ascot Vale,75 Maribyrnong Rd,6,h,2425000,PI,Brad,04/06/2016,5.9,3032,6,3,2,1014,435,1887,Moonee Valley City Council,-37.7721,144.9184,Western Metropolitan,6567
Ascot Vale,119 Roseberry St,2,h,750000,SP,Maddison,04/06/2016,5.9,3032,2,1,1,226,92,1920,Moonee Valley City Council,-37.7745,144.9093,Western Metropolitan,6567
Ascot Vale,25 Station Av,2,h,840000,S,Brad,04/06/2016,5.9,3032,,,,,,,Moonee Valley City Council,,,Western Metropolitan,6567
Ascot Vale,10 Fenton St,2,h,1053000,S,Nelson,06/08/2016,5.9,3032,2,1,1,269,109,1900,Moonee Valley City Council,-37.7748,144.929,Western Metropolitan,6567
Ascot Vale,10 McCully St,3,h,1377000,S,Nelson,06/08/2016,5.9,3032,3,1,1,417,168,1900,Moonee Valley City Council,-37.7756,144.9208,Western Metropolitan,6567
Ascot Vale,120 Epsom Rd,3,h,970000,S,Brad,07/05/2016,5.9,3032,3,1,2,350,125,1904,Moonee Valley City Council,-37.7759,144.91,Western Metropolitan,6567
Ascot Vale,47 Hurtle St,2,h,940000,S,Nelson,07/05/2016,5.9,3032,2,1,1,330,,,Moonee Valley City Council,-37.773,144.9049,Western Metropolitan,6567
Ascot Vale,63 Kent St,2,h,751000,PI,Nelson,07/05/2016,5.9,3032,2,1,1,118,79,1890,Moonee Valley City Council,-37.7807,144.9288,Western Metropolitan,6567
Ascot Vale,4 The Parade,2,h,950000,SP,Raine,07/05/2016,5.9,3032,2,1,1,173,102,1900,Moonee Valley City Council,-37.7731,144.9206,Western Metropolitan,6567
Ascot Vale,4 West St,3,h,,S,Jellis,07/05/2016,5.9,3032,3,2,2,252,125,1920,Moonee Valley City Council,-37.7774,144.924,Western Metropolitan,6567
Ascot Vale,1/17 Epsom Rd,2,u,685000,S,Brad,7/11/2016,5.9,3032,2,1,2,228,90,1995,Moonee Valley City Council,-37.7718,144.9066,Western Metropolitan,6567
Ascot Vale,70 Bloomfield Rd,4,h,,S,Brad,8/10/2016,5.9,3032,3,1,2,398,,,Moonee Valley City Council,-37.7761,144.9166,Western Metropolitan,6567
Ascot Vale,41 Monash St,3,h,1230000,S,Nelson,8/10/2016,5.9,3032,4,1,2,594,148,1960,Moonee Valley City Council,-37.7819,144.9064,Western Metropolitan,6567
Ascot Vale,2/78 Ormond Rd,2,h,636500,S,Jellis,8/10/2016,5.9,3032,2,1,1,0,,,Moonee Valley City Council,-37.7738,144.9345,Western Metropolitan,6567
Ascot Vale,83 Roseberry St,3,h,910000,S,Raine,8/10/2016,5.9,3032,3,1,0,317,,,Moonee Valley City Council,-37.7746,144.9112,Western Metropolitan,6567
