geography;year;category;households;value
City of Melbourne;2023;Household type;Group household;17898
City of Melbourne;2022;Household type;Couple family with children;7516
City of Melbourne;2025;Household type;Couple family with children;9062
City of Melbourne;2027;Household type;Couple family with children;10080
City of Melbourne;2031;Household type;Couple family with children;11534
City of Melbourne;2034;Household type;Couple family with children;12737
City of Melbourne;2037;Household type;Couple family with children;14233
City of Melbourne;2023;Household type;Couple family without children;27509
City of Melbourne;2025;Household type;Couple family without children;30754
City of Melbourne;2026;Household type;Couple family without children;31826
City of Melbourne;2027;Household type;Couple family without children;32695
City of Melbourne;2031;Household type;Couple family without children;34913
City of Melbourne;2033;Household type;Couple family without children;35603
City of Melbourne;2034;Household type;Couple family without children;36745
City of Melbourne;2039;Household type;Couple family without children;40570
City of Melbourne;2024;Household type;Group household;18679
City of Melbourne;2031;Household type;Group household;20735
City of Melbourne;2034;Household type;Group household;20864
City of Melbourne;2036;Household type;Group household;21466
City of Melbourne;2037;Household type;Group household;21718
City of Melbourne;2024;Household type;Lone person;33689
City of Melbourne;2025;Household type;Lone person;34750
City of Melbourne;2028;Household type;Lone person;37733
City of Melbourne;2036;Household type;Lone person;42719
City of Melbourne;2039;Household type;Lone person;46013
City of Melbourne;2041;Household type;Lone person;48165
City of Melbourne;2027;Household type;One-parent family;2875
City of Melbourne;2028;Household type;One-parent family;2953
City of Melbourne;2031;Household type;One-parent family;3190
City of Melbourne;2033;Household type;One-parent family;3392
City of Melbourne;2038;Household type;One-parent family;4369
City of Melbourne;2041;Household type;One-parent family;5018
City of Melbourne;2023;Household type;Other family;2725
City of Melbourne;2026;Household type;Other family;2730
City of Melbourne;2027;Household type;Other family;2722
City of Melbourne;2032;Household type;Other family;2527
City of Melbourne;2034;Household type;Other family;2456
City of Melbourne;2037;Household type;Other family;2493
City of Melbourne;2022;Structural Private Dwellings;Not applicable;99232
City of Melbourne;2023;Structural Private Dwellings;Not applicable;99232
City of Melbourne;2024;Structural Private Dwellings;Not applicable;99684
City of Melbourne;2040;Structural Private Dwellings;Not applicable;138935
City of Melbourne;2041;Structural Private Dwellings;Not applicable;141290
Carlton;2030;Household type;Other family;364
Docklands;2023;Household type;Group household;1216
Docklands;2023;Household type;Other family;194
East Melbourne;2041;Household type;Lone person;1282
Kensington;2033;Household type;Lone person;1678
Kensington;2033;Household type;One-parent family;287
